,time,Open,High,Low,Close,Volume
0,1620172800000,0.32955,0.3761,0.32265,0.36189,77262339.1
1,1620259200000,0.36297,0.36842,0.3367,0.3448,68042383.9
2,1620345600000,0.34517,0.37411,0.33246,0.35533,60773607.4
3,1620432000000,0.35562,0.3999,0.34899,0.38308,120261243.1
4,1620518400000,0.38325,0.386,0.34478,0.36259,76521083.5
5,1620604800000,0.36309,0.37619,0.29329,0.32503,100545565.0
6,1620691200000,0.32501,0.35864,0.31292,0.35702,70861745.1
7,1620777600000,0.35748,0.39955,0.31,0.31673,174982727.7
8,1620864000000,0.31673,0.37868,0.29753,0.34055,145025332.1
9,1620950400000,0.34049,0.39317,0.3386,0.39252,108687836.1
10,1621036800000,0.3925,0.46631,0.37408,0.42842,259015421.9
11,1621123200000,0.42804,0.48594,0.38314,0.41694,221327650.6
12,1621209600000,0.41699,0.43495,0.35649,0.36713,137185935.1
13,1621296000000,0.36712,0.4,0.36,0.36661,107052900.4
14,1621382400000,0.36662,0.37676,0.14624,0.24728,287858115.3
15,1621468800000,0.24704,0.3105,0.21469,0.27615,152606817.0
16,1621555200000,0.27485,0.28895,0.18622,0.22525,179831765.5
17,1621641600000,0.2252,0.23261,0.19046,0.19742,107147038.4
18,1621728000000,0.19675,0.20735,0.12377,0.16151,216712525.5
19,1621814400000,0.16143,0.22,0.16097,0.21367,200437005.4
20,1621900800000,0.21367,0.22699,0.18427,0.22099,137935013.9
21,1621987200000,0.22079,0.27999,0.214,0.2711,179166485.4
22,1622073600000,0.2711,0.27175,0.23041,0.24349,111930178.7
23,1622160000000,0.24329,0.24681,0.19542,0.20489,134428646.3
24,1622246400000,0.20489,0.21774,0.18162,0.19243,82662476.5
25,1622332800000,0.19256,0.2367,0.179,0.22218,115681724.9
26,1622419200000,0.22249,0.23738,0.20558,0.23484,95600757.8
27,1622505600000,0.23512,0.2421,0.21922,0.22549,72166091.9
28,1622592000000,0.22527,0.26439,0.2164,0.24953,118004377.2
29,1622678400000,0.24943,0.27725,0.24606,0.26327,75139680.5
30,1622764800000,0.26327,0.2641,0.21974,0.233,105660186.7
31,1622851200000,0.233,0.25205,0.20868,0.21814,85328581.5
32,1622937600000,0.21778,0.24328,0.21665,0.22648,56852963.2
33,1623024000000,0.2262,0.23969,0.19804,0.20046,80196309.2
34,1623110400000,0.20045,0.20776,0.17501,0.19537,113016056.3
35,1623196800000,0.19507,0.2206,0.18372,0.22045,97621625.2
36,1623283200000,0.22049,0.23383,0.20177,0.206,115309246.0
37,1623369600000,0.20577,0.21988,0.188,0.19176,95217815.3
38,1623456000000,0.19209,0.19859,0.17957,0.19051,69080262.0
39,1623542400000,0.19039,0.218,0.18532,0.21361,81156501.3
40,1623628800000,0.21343,0.21697,0.20334,0.21146,67689628.0
41,1623715200000,0.2115,0.22473,0.20501,0.20544,72292890.2
42,1623801600000,0.20529,0.212,0.19467,0.20386,66926480.7
43,1623888000000,0.20386,0.21365,0.19313,0.19865,57086571.3
44,1623974400000,0.19865,0.20123,0.17223,0.17969,74962125.7
45,1624060800000,0.17969,0.187,0.17394,0.17763,38702107.7
46,1624147200000,0.17763,0.18438,0.16642,0.18247,48893210.0
47,1624233600000,0.18275,0.18397,0.13561,0.13649,91609870.0
48,1624320000000,0.13639,0.1618,0.11552,0.13409,140711278.5
49,1624406400000,0.13407,0.15896,0.12784,0.14835,66450514.7
50,1624492800000,0.14829,0.15842,0.13952,0.15228,54409267.3
51,1624579200000,0.15233,0.15646,0.13138,0.13321,47470234.0
52,1624665600000,0.13309,0.13873,0.12725,0.13401,50040565.3
53,1624752000000,0.13401,0.1422,0.13085,0.14208,38239522.3
